id;insert_time;tx_amount;tx_type;status
d6608b26-929a-44cd-96f0-f803ce0b63a4;01/09/2027 01:19;450678;in;active
f3b6a403-6765-4065-8812-a77d15871fd7;23/06/2007 02:02;565763;out;inactive
ec3bb1cf-bc07-4c3c-9810-8e7ceb425c0b;11/10/2002 07:44;2563;out;active
3f08d19d-7bd8-4b6e-9b98-202a2e3ad9ac;04/09/2023 09:31;7656;in;active
7ec50532-7abd-438b-a1d3-0d63a83eb006;04/11/2020 09:13;8765;in;active
0382068f-fe94-4bfd-abfa-5e47b7b6d8ea;19/11/2003 00:33;3456;out;inactive
69980473-6abe-4a2f-a6ed-bfd2226980db;24/05/2020 02:33;34567;out;active
4a519ff9-2cc6-4083-bd56-adf3d34bb665;08/08/2007 10:21;90875;out;active
44434d45-70ba-4054-ae26-4eb67eb43927;07/02/2029 12:39;56538;in;inactive
a27d5f8a-3609-49b7-b0fd-4615654978e4;05/06/2022 21:00;75492;out;active
3f08d19d-7bd8-4b6e-9b98-202a2e3ad9ac;05/10/2007 05:06;76489;out;inactive
7ec50532-7abd-438b-a1d3-0d63a83eb006;19/11/2010 15:11;65278;in;inactive
0382068f-fe94-4bfd-abfa-5e47b7b6d8ea;29/11/2008 18:26;53829;out;active
69980473-6abe-4a2f-a6ed-bfd2226980db;10/08/2020 05:46;6786;in;inactive
4a519ff9-2cc6-4083-bd56-adf3d34bb665;20/10/2002 12:04;56379;in;active
44434d45-70ba-4054-ae26-4eb67eb43927;09/09/2002 19:19;87652;out;active
